namespace,action,decision,scope
microsoft.directory,microsoft.directory/bulkJobs.groups/create,notAllowed,/
microsoft.directory,microsoft.directory/bulkJobs.groups/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/bulkJobs/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/bulkJobs/create,notAllowed,/
microsoft.directory,microsoft.directory/bulkJobs/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/certificateBasedDeviceAuthConfigurations/create,notAllowed,/
microsoft.directory,microsoft.directory/certificateBasedDeviceAuthConfigurations/credentials/update,notAllowed,/
microsoft.directory,microsoft.directory/certificateBasedDeviceAuthConfigurations/delete,notAllowed,/
microsoft.directory,microsoft.directory/certificateBasedDeviceAuthConfigurations/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/cloudAppSecurity/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/cloudAppSecurity/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/cloudProvisioning/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/conditionalAccessPolicies/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/conditionalAccessPolicies/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/conditionalAccessPolicies/basic/update,conditional,/
microsoft.directory,microsoft.directory/conditionalAccessPolicies/create,notAllowed,/
microsoft.directory,microsoft.directory/conditionalAccessPolicies/delete,conditional,/
microsoft.directory,microsoft.directory/conditionalAccessPolicies/owners/read,allowed,/
microsoft.directory,microsoft.directory/conditionalAccessPolicies/owners/update,conditional,/
microsoft.directory,microsoft.directory/conditionalAccessPolicies/owners/update,conditional,/
microsoft.directory,microsoft.directory/conditionalAccessPolicies/policyAppliedTo/read,allowed,/
microsoft.directory,microsoft.directory/conditionalAccessPolicies/standard/read,allowed,/
microsoft.directory,microsoft.directory/conditionalAccessPolicies/tenantDefault/update,notAllowed,/
microsoft.directory,microsoft.directory/connectorGroups/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/connectorGroups/allProperties/update,invalidAction,/
microsoft.directory,microsoft.directory/connectorGroups/create,notAllowed,/
microsoft.directory,microsoft.directory/connectorGroups/delete,notAllowed,/
microsoft.directory,microsoft.directory/connectors/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/connectors/allProperties/update,invalidAction,/
microsoft.directory,microsoft.directory/connectors/create,notAllowed,/
microsoft.directory,microsoft.directory/contacts/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/contacts/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/contacts/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/contacts/create,notAllowed,/
microsoft.directory,microsoft.directory/contacts/delete,notAllowed,/
microsoft.directory,microsoft.directory/contacts/memberOf/read,allowed,/
microsoft.directory,microsoft.directory/contacts/standard/read,allowed,/
microsoft.directory,microsoft.directory/contracts/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/contracts/standard/read,allowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/allowedCloudEndpoints/update,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/default/b2bCollaboration/update,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/default/b2bDirectConnect/update,notAllowed,/
microsoft.directory,microsoft.directory/crossTenantAccessPolicy/default/crossCloudMeetings/update,notAllowed,/
